datetime,cash,pos,equity,peak,dd
2026-05-26 14:00:00,298094.0,-1,298874.0,300298.0,-0.47419563233854367
2026-05-26 14:30:00,298094.0,-1,298914.0,300298.0,-0.46087553030656214
2026-05-27 01:00:00,298094.0,-1,298894.0,300298.0,-0.46753558132255296
2026-05-27 01:30:00,298094.0,-1,298814.0,300298.0,-0.4941757853865161
2026-05-27 02:00:00,298094.0,-1,298854.0,300298.0,-0.4808556833545345
2026-05-27 02:45:00,298094.0,-1,298754.0,300298.0,-0.5141559384344885
2026-05-27 03:15:00,298094.0,-1,298694.0,300298.0,-0.5341360914824608
2026-05-27 05:45:00,298094.0,-1,298774.0,300298.0,-0.5074958874184976
2026-05-27 06:15:00,298094.0,-1,298834.0,300298.0,-0.48751573437052526
2026-05-27 06:45:00,298094.0,-1,298774.0,300298.0,-0.5074958874184976
2026-05-27 13:00:00,298094.0,-1,298754.0,300298.0,-0.5141559384344885
2026-05-27 13:30:00,298094.0,-1,298734.0,300298.0,-0.5208159894504791
2026-05-27 14:00:00,298094.0,-1,298714.0,300298.0,-0.52747604046647
2026-05-27 14:30:00,298094.0,-1,298694.0,300298.0,-0.5341360914824608
2026-05-28 01:00:00,298094.0,-1,298794.0,300298.0,-0.5008358364025068
2026-05-28 01:30:00,298094.0,-1,298814.0,300298.0,-0.4941757853865161
2026-05-28 02:00:00,298094.0,-1,298774.0,300298.0,-0.5074958874184976
2026-05-28 02:45:00,298094.0,-1,298754.0,300298.0,-0.5141559384344885
2026-05-28 03:15:00,298094.0,-1,298794.0,300298.0,-0.5008358364025068
2026-05-28 05:45:00,298094.0,-1,298754.0,300298.0,-0.5141559384344885
2026-05-28 06:15:00,298094.0,-1,298754.0,300298.0,-0.5141559384344885
2026-05-28 06:45:00,298094.0,-1,298754.0,300298.0,-0.5141559384344885
2026-05-28 13:00:00,298094.0,-1,298674.0,300298.0,-0.5407961424984515
2026-05-28 13:30:00,298094.0,-1,298614.0,300298.0,-0.5607762955464238
2026-05-28 14:00:00,298094.0,-1,298594.0,300298.0,-0.5674363465624147
2026-05-28 14:30:00,298094.0,-1,298614.0,300298.0,-0.5607762955464238
2026-05-29 01:00:00,298094.0,-1,298554.0,300298.0,-0.5807564485943962
2026-05-29 01:30:00,298094.0,-1,298514.0,300298.0,-0.5940765506263778
2026-05-29 02:00:00,298094.0,-1,298474.0,300298.0,-0.6073966526583594
2026-05-29 02:45:00,298094.0,-1,298534.0,300298.0,-0.587416499610387
2026-05-29 03:15:00,298094.0,-1,298554.0,300298.0,-0.5807564485943962
2026-05-29 05:45:00,298094.0,-1,298554.0,300298.0,-0.5807564485943962
2026-05-29 06:15:00,298094.0,-1,298434.0,300298.0,-0.6207167546903409
2026-05-29 06:45:00,298094.0,-1,298374.0,300298.0,-0.6406969077383133
2026-05-29 13:00:00,298094.0,-1,298334.0,300298.0,-0.6540170097702949
2026-05-29 13:30:00,298094.0,-1,298394.0,300298.0,-0.6340368567223225
2026-05-29 14:00:00,298094.0,-1,298554.0,300298.0,-0.5807564485943962
2026-05-29 14:30:00,298094.0,-1,298494.0,300298.0,-0.6007366016423685
2026-06-01 01:00:00,298094.0,-1,298474.0,300298.0,-0.6073966526583594
2026-06-01 01:30:00,298094.0,-1,298394.0,300298.0,-0.6340368567223225
2026-06-01 02:00:00,298094.0,-1,298414.0,300298.0,-0.6273768057063317
2026-06-01 02:45:00,298094.0,-1,298354.0,300298.0,-0.647356958754304
2026-06-01 03:15:00,298094.0,-1,298394.0,300298.0,-0.6340368567223225
2026-06-01 05:45:00,298094.0,-1,298374.0,300298.0,-0.6406969077383133
2026-06-01 06:15:00,298094.0,-1,298414.0,300298.0,-0.6273768057063317
2026-06-01 06:45:00,298094.0,-1,298394.0,300298.0,-0.6340368567223225
2026-06-01 13:00:00,298094.0,-1,298454.0,300298.0,-0.6140567036743501
2026-06-01 13:30:00,298094.0,-1,298534.0,300298.0,-0.587416499610387
2026-06-01 14:00:00,298094.0,-1,298514.0,300298.0,-0.5940765506263778
2026-06-01 14:30:00,298094.0,-1,298454.0,300298.0,-0.6140567036743501
2026-06-02 01:00:00,298094.0,-1,298534.0,300298.0,-0.587416499610387
2026-06-02 01:30:00,298094.0,-1,298754.0,300298.0,-0.5141559384344885
2026-06-02 02:00:00,298094.0,-1,298714.0,300298.0,-0.52747604046647
2026-06-02 02:45:00,298094.0,-1,298714.0,300298.0,-0.52747604046647
2026-06-02 03:15:00,298094.0,-1,298634.0,300298.0,-0.5541162445304332
2026-06-02 05:45:00,298094.0,-1,298654.0,300298.0,-0.5474561935144423
2026-06-02 06:15:00,298094.0,-1,298654.0,300298.0,-0.5474561935144423
2026-06-02 06:45:00,298094.0,-1,298654.0,300298.0,-0.5474561935144423
2026-06-02 13:00:00,298094.0,-1,298554.0,300298.0,-0.5807564485943962
2026-06-02 13:30:00,298094.0,-1,298554.0,300298.0,-0.5807564485943962
2026-06-02 14:00:00,298094.0,-1,298454.0,300298.0,-0.6140567036743501
2026-06-02 14:30:00,298094.0,-1,298494.0,300298.0,-0.6007366016423685
2026-06-03 01:00:00,298094.0,-1,298554.0,300298.0,-0.5807564485943962
2026-06-03 01:30:00,298094.0,-1,298554.0,300298.0,-0.5807564485943962
2026-06-03 02:00:00,298094.0,-1,298614.0,300298.0,-0.5607762955464238
2026-06-03 02:45:00,298094.0,-1,298534.0,300298.0,-0.587416499610387
2026-06-03 03:15:00,298094.0,-1,298554.0,300298.0,-0.5807564485943962
2026-06-03 05:45:00,298094.0,-1,298534.0,300298.0,-0.587416499610387
2026-06-03 06:15:00,298094.0,-1,298554.0,300298.0,-0.5807564485943962
2026-06-03 06:45:00,298094.0,-1,298534.0,300298.0,-0.587416499610387
2026-06-03 13:00:00,298094.0,-1,298554.0,300298.0,-0.5807564485943962
2026-06-03 13:30:00,298094.0,-1,298594.0,300298.0,-0.5674363465624147
2026-06-03 14:00:00,298094.0,-1,298654.0,300298.0,-0.5474561935144423
2026-06-03 14:30:00,298094.0,-1,298654.0,300298.0,-0.5474561935144423
2026-06-04 01:00:00,298094.0,-1,298774.0,300298.0,-0.5074958874184976
2026-06-04 01:30:00,298094.0,-1,298834.0,300298.0,-0.48751573437052526
2026-06-04 02:00:00,298094.0,-1,298894.0,300298.0,-0.46753558132255296
2026-06-04 02:45:00,298094.0,-1,298934.0,300298.0,-0.4542154792905714
2026-06-04 03:15:00,298094.0,-1,298954.0,300298.0,-0.44755542827458056
2026-06-04 05:45:00,298094.0,-1,298994.0,300298.0,-0.434235326242599
2026-06-04 06:15:00,298094.0,-1,298814.0,300298.0,-0.4941757853865161
2026-06-04 06:45:00,298094.0,-1,298894.0,300298.0,-0.46753558132255296
2026-06-04 13:00:00,298094.0,-1,298934.0,300298.0,-0.4542154792905714
2026-06-04 13:30:00,298094.0,-1,298894.0,300298.0,-0.46753558132255296
2026-06-04 14:00:00,298094.0,-1,298974.0,300298.0,-0.44089537725858985
2026-06-04 14:30:00,298094.0,-1,299014.0,300298.0,-0.42757527522660826
2026-06-05 01:00:00,298094.0,-1,299094.0,300298.0,-0.40093507116264515
2026-06-05 01:30:00,298094.0,-1,299114.0,300298.0,-0.39427502014665433
2026-06-05 02:00:00,298094.0,-1,299134.0,300298.0,-0.3876149691306635
2026-06-05 02:45:00,298094.0,-1,299294.0,300298.0,-0.3343345610027373
2026-06-05 03:15:00,298094.0,-1,299294.0,300298.0,-0.3343345610027373
2026-06-05 05:45:00,298094.0,-1,299374.0,300298.0,-0.3076943569387741
2026-06-05 06:15:00,298094.0,-1,299334.0,300298.0,-0.32101445897075576
2026-06-05 06:45:00,298094.0,-1,299314.0,300298.0,-0.3276745099867465
